start_x,start_y,end_x,end_y
-8846646.531575287,5412236.4035442015,-8846646.531575296,5412236.403544201
-8846646.531575296,5412236.403544201,-8846676.018099532,5412150.640045985
-8846676.018099532,5412150.640045985,-8846333.17737423,5412184.924118515
-8846333.17737423,5412184.924118515,-8846019.82317318,5412133.444692828
-8846019.82317318,5412133.444692828,-8846705.504623767,5412064.87654777
-8846705.504623767,5412064.87654777,-8846734.991148,5411979.113049554
-8846734.991148,5411979.113049554,-8845725.728370292,5412080.039327324
-8845725.728370292,5412080.039327324,-8845692.148121536,5412000.582506408
-8845692.148121536,5412000.582506408,-8846764.477672236,5411893.349551338
-8846764.477672236,5411893.349551338,-8846793.964196471,5411807.586053122
-8846793.964196471,5411807.586053122,-8845658.56787278,5411921.125685491
-8845658.56787278,5411921.125685491,-8845624.987624025,5411841.668864575
-8845624.987624025,5411841.668864575,-8846823.450720705,5411721.822554906
-8846823.450720705,5411721.822554906,-8846852.93724494,5411636.059056691
-8846852.93724494,5411636.059056691,-8845591.407375269,5411762.212043658
-8845591.407375269,5411762.212043658,-8845557.827126512,5411682.7552227415
-8845557.827126512,5411682.7552227415,-8846882.423769174,5411550.295558475
-8846882.423769174,5411550.295558475,-8846911.91029341,5411464.532060259
-8846911.91029341,5411464.532060259,-8845524.246877756,5411603.298401824
-8845524.246877756,5411603.298401824,-8845490.666629001,5411523.841580908
-8845490.666629001,5411523.841580908,-8846941.396817645,5411378.768562043
-8846941.396817645,5411378.768562043,-8846970.883341879,5411293.005063828
-8846970.883341879,5411293.005063828,-8845457.086380245,5411444.384759991
-8845457.086380245,5411444.384759991,-8845423.506131489,5411364.927939075
-8845423.506131489,5411364.927939075,-8847000.369866114,5411207.241565612
-8847000.369866114,5411207.241565612,-8847029.85639035,5411121.478067396
-8847029.85639035,5411121.478067396,-8845389.925882734,5411285.471118158
-8845389.925882734,5411285.471118158,-8845356.345633978,5411206.014297241
-8845356.345633978,5411206.014297241,-8847059.342914583,5411035.71456918
-8847059.342914583,5411035.71456918,-8847088.829438819,5410949.951070965
-8847088.829438819,5410949.951070965,-8845322.765385222,5411126.557476324
-8845322.765385222,5411126.557476324,-8845289.185136467,5411047.100655408
-8845289.185136467,5411047.100655408,-8847118.315963052,5410864.187572749
-8847118.315963052,5410864.187572749,-8847146.110054491,5410778.593317812
-8847146.110054491,5410778.593317812,-8845255.60488771,5410967.64383449
-8845255.60488771,5410967.64383449,-8845222.024638955,5410888.187013575
-8845222.024638955,5410888.187013575,-8847087.885094404,5410701.600968029
-8847087.885094404,5410701.600968029,-8847029.660134317,5410624.608618246
-8847029.660134317,5410624.608618246,-8845188.444390198,5410808.730192658
-8845188.444390198,5410808.730192658,-8845154.864141444,5410729.273371741
-8845154.864141444,5410729.273371741,-8846971.435174229,5410547.6162684625
-8846971.435174229,5410547.6162684625,-8846913.210214142,5410470.623918679
-8846913.210214142,5410470.623918679,-8845121.283892687,5410649.816550824
-8845121.283892687,5410649.816550824,-8845087.703643931,5410570.359729908
-8845087.703643931,5410570.359729908,-8846854.985254053,5410393.631568896
-8846854.985254053,5410393.631568896,-8846796.760293966,5410316.639219112
-8846796.760293966,5410316.639219112,-8845054.123395175,5410490.902908991
-8845054.123395175,5410490.902908991,-8845020.54314642,5410411.446088075
-8845020.54314642,5410411.446088075,-8846738.535333877,5410239.646869329
-8846738.535333877,5410239.646869329,-8846680.31037379,5410162.654519545
-8846680.31037379,5410162.654519545,-8845051.450922018,5410325.540464722
-8845051.450922018,5410325.540464722,-8845103.174801698,5410237.553230963
-8845103.174801698,5410237.553230963,-8846622.085413702,5410085.662169762
-8846622.085413702,5410085.662169762,-8846563.860453615,5410008.669819978
-8846563.860453615,5410008.669819978,-8845154.89868138,5410149.565997202
-8845154.89868138,5410149.565997202,-8845206.62256106,5410061.578763441
-8845206.62256106,5410061.578763441,-8846505.635493526,5409931.677470195
-8846505.635493526,5409931.677470195,-8846403.277709613,5409859.0984027935
-8846403.277709613,5409859.0984027935,-8845258.34644074,5409973.59152968
-8845258.34644074,5409973.59152968,-8845310.07032042,5409885.6042959215
-8845310.07032042,5409885.6042959215,-8846264.17971115,5409790.193356848
-8846264.17971115,5409790.193356848,-8846125.081712686,5409721.288310902
-8846125.081712686,5409721.288310902,-8845361.794200102,5409797.617062161
-8845361.794200102,5409797.617062161,-8845413.518079782,5409709.6298284
-8845413.518079782,5409709.6298284,-8845985.983714221,5409652.383264957
-8845985.983714221,5409652.383264957,-8845846.885715755,5409583.47821901
-8845846.885715755,5409583.47821901,-8845465.241959462,5409621.642594639
-8845465.241959462,5409621.642594639,-8845516.965839142,5409533.65536088
-8845516.965839142,5409533.65536088,-8845707.787717292,5409514.573173065
-8845707.787717292,5409514.573173065,-8845568.689718826,5409445.668127119
-8845568.689718826,5409445.668127119,-8845568.689718824,5409445.668127119
